x,z,th,vx,vz,vth
-0.3528905667323,0.083704878179,1.6886008754070332,-0.6867984868500071,0.03998908625000436,15.108793060398806
-0.3555763169299,0.08361358502700002,1.746578451566716,-0.6714375493999947,-0.022823287999997055,14.4943940399207
-0.3582665706835,0.083430548712,1.8050234169935777,-0.6725634383999979,-0.0457590787500059,14.611241356715432
-0.36088598193079996,0.083011269082,1.8615662910572102,-0.6548528118249936,-0.10481990749999781,14.135718515908113
-0.3635801216566,0.08251062319200002,1.9195974240215925,-0.6735349314500039,-0.1251614724999961,14.507783241095584
-0.36624962072659994,0.08185885277299997,1.9775104549419575,-0.6673747674999925,-0.1629426047500132,14.47825773009126
-0.3688804384745,0.08091794563200001,2.033354640077375,-0.6577044369750207,-0.23522678524998814,13.961046283854417
-0.3715424969142,0.07998072088499998,2.0900788973328286,-0.6655146099249915,-0.23430618675000792,14.181064313863345
-0.3742337971063,0.078892541163,2.147024679546993,-0.6728250480250025,-0.27204493049999556,14.236445553541088
-0.376867632024,0.07759053764399997,2.203900671744493,-0.6584587294249933,-0.32550087975000835,14.218998049374987
-0.37949403415259997,0.07613666471200002,2.259810090861321,-0.6566005321499979,-0.3634682329999861,13.97735477920703
-0.3821298737383,0.074477839941,2.3171330756992394,-0.6589598964250043,-0.41470619275000425,14.330746209479607
-0.3847734779049,0.072762798201,2.374250542273707,-0.6609010416500083,-0.42876043500000155,14.279366643616843
-0.3873751926152,0.07082653999099998,2.4315042164110428,-0.6504286775749907,-0.4840645525000034,14.313418534333987
-0.3900148974974,0.06883130219400001,2.488097234399981,-0.65992622055,-0.4988094492499942,14.148254497234557
-0.3926128389507,0.06660254312600002,2.544989569278264,-0.6494853633250003,-0.5571897669999979,14.223083719570706
-0.3952334808805,0.064256252861,2.603492521972906,-0.6551604824499985,-0.5865725662500056,14.62573817366053
-0.39782519273859995,0.061822148263999996,2.6608837338894653,-0.6479279645249941,-0.6085261492499994,14.347802979139846
-0.40040655981019996,0.05918631861199998,2.717599603646882,-0.6453417679000012,-0.658957413000004,14.178967439354206
-0.40302314731669997,0.056384660667,2.7739395577335797,-0.654146876625003,-0.700414486249995,14.08498852167439
